Eid,title,e_image,seatmap
exb0001,Monet and Boston Lasting Impression,https://d1nn9x4fgzyvn4.cloudfront.net/styles/860x645_uncropped/s3/2020-04/Monet_cover_website.jpg?itok=CSW545k8,null
exb0002,Lucian Freud The Self-Portraits,https://d1nn9x4fgzyvn4.cloudfront.net/styles/860x645/s3/2019-10/znew936914_key24_4x3.jpg?itok=R5gqAqYL,null
exb0003,Personal Space Self-Portraits on Paper,https://d1nn9x4fgzyvn4.cloudfront.net/styles/860x645/s3/2019-11/SC189607-9_4x3.jpg?itok=sfbVl8My,null
exb0004,Read My Lips,https://d1nn9x4fgzyvn4.cloudfront.net/styles/860x645/s3/2019-09/SC415457_4x3_0.jpg?itok=zfFHoNLV,null
exb0005,Painter of Disquiet,https://media.timeout.com/images/105527615/750/422/image.jpg,null
exb0006,Art and Empires on the Shores of the Sahara,https://media.timeout.com/images/105607943/750/422/image.jpg,null
exb0007,Dutch Masterpieces at The Met,https://media.timeout.com/images/105369043/750/422/image.jpg,null
exb0008,Madame dâ€™Ora,https://media.timeout.com/images/105601242/750/422/image.jpg,null
exb0009,Arts and Entertainment College Fair and Dance Xhibition,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F62111048%2F307308733682%2F1%2Foriginal.20190511-170059?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C256%2C1080%2C540&s=ce78f8681745632d285fc8d2c3013860,null
exb0010,Meditations for a Vibrant Planet,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F93604711%2F173752446438%2F1%2Foriginal.20200221-183629?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=6%2C0%2C1044%2C522&s=3b17e6d1b2157ca54044a454c1efe81f,null
exb0011,Night of 1000 Drawings DTLA 2020,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F95540095%2F227218052074%2F1%2Foriginal.20200305-163830?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=c7658d558f15a7a5b9eb2a396e910d69,null
exb0012,La Kretz Innovation Campus Walking Tour,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61130535%2F18989296065%2F1%2Foriginal.20190424-182201?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=72%2C0%2C1256%2C628&s=ea1ee03a81a8cd59c49d941ed6c4cb32,null
